seq	timestamp	action	design	design_sha	by	detail	chain
1	2026-09-22T05:48:09	accept	examples/refunds.design	643dc5df6c09829ea067a09e0ffa289b7f09a70e89cb5e416501d080e7ca5446	M. Okafor, Refunds Team Lead	I accept	18cb82b5d7bd9806c9209ec036262bcf7b64b1d638e67992faa0b1cb0fce239f
2	2026-09-22T05:48:26	accept	examples/renewals.design	d286a5bfff21c719634519cd555f34469ab1592e125a91b8825853152482bf15	J. Lindqvist, Commercial Counsel	I accept	ca01a1747ce79201b64ae6a8d398754170d1cbfdd03832bad2d65494c97a461f
3	2026-09-22T05:48:53	accept	examples/support-triage.design	7e0572b8db0e7753f67c8e23d75197c569cc27719bc489161fa15c11dcfe3ee2	D. Aluko, Support Duty Manager	I accept	19fed395bfee02f28823efdb8e2d8aa498bd536c052fef50d3202299abbe92ae
4	2026-09-22T05:48:53	accept	examples/invoices.design	84ef0d4097162b0c8f28634cda3061e63fcfdb11fbbca134d6f82cfd80e39526	A. Rivera, Accounts Payable	I accept	be7c149018695bfcc56a090a4a94197c81c11cf7233513d0e47caeefa441c416
5	2026-09-22T05:49:11	revoke	examples/renewals.design	d286a5bfff21c719634519cd555f34469ab1592e125a91b8825853152482bf15	J. Lindqvist, Commercial Counsel	Counterparty changed the indemnity clause after review	6e079a8dfdd375d1d42babc1fdf0c37d207d7827d1d47489b04ca4f1459283ca
6	2026-09-22T05:49:22	accept	examples/renewals.design	d286a5bfff21c719634519cd555f34469ab1592e125a91b8825853152482bf15	J. Lindqvist, Commercial Counsel	I accept	81bff8c241b820a347c350518528b755c93fd3171228d03f8b09f8963e163262
7	2026-09-22T07:48:28	accept	jobs/warranty/proposed.design	0f8cd20c152873513cb7d8aac3e4d52d908b7a2d9b860a6a17fdcb8e3cd7b2d1	R. Nakamura, Warranty Operations Lead	I accept	95690700f92f2c92323d4568fa5620a09f22d0a13bb1ac04cde975d376177154
8	2026-09-22T08:00:08	accept	/Users/thechrisoneil/software/course/workshop/jobs/claims/proposed.design	3b2b5fe16b0764469edafe2ec3d8204dfde6ba890efc7bd6660712761fda7b25	T. Marsh, Service Operations	I accept	164a6c1687cf0676c724388f56b725a58c7a57dce6f21154d9626be08e003649
9	2026-09-22T08:01:12	accept	/Users/thechrisoneil/software/course/workshop/jobs/_flowtest/proposed.design	3b2b5fe16b0764469edafe2ec3d8204dfde6ba890efc7bd6660712761fda7b25	Test Owner, QA	I accept	dd13126bd954feb30e06cdd1a17e1859fc7e20cdb2ecaeddc1541c1f980f6aff
10	2026-09-22T08:01:21	accept	/Users/thechrisoneil/software/course/workshop/jobs/_flowtest/proposed.design	357839093ae08c50f98b611cd85a8a05fa2d1c293e74190d1053032eb3b44eeb	Test Owner, QA	I accept	d71741b82d9f27f26a916bd62652f3e6072a424dc36a540e0afceef006f920e2
11	2026-09-22T11:40:49	note	-	-	C. ONeil, EverBetter	Rows 8-10 record acceptances made during development, under the tree's former path and for jobs (claims, _flowtest) that were deleted afterwards. They are left in place: this register is append-only and chained, and removing a row would break the chain and destroy the property it exists to demonstrate. Since row 7 accept.sh records paths relative to the workshop root, and the flow test writes to its own scratch register.	dd9f71495d79d0b3a686243b87b59adb9b313d31cb835e241b12c91866e3afe7
12	2026-09-22T12:33:06	accept	jobs/team-demo/proposed.design	643dc5df6c09829ea067a09e0ffa289b7f09a70e89cb5e416501d080e7ca5446	Team Demo, Student	I accept	b8b9441999595ea0f0d224a6200f9d72e6f293ea4c6df4a15655e7941ed909e6
13	2026-09-22T12:33:08	note	-	-	C. ONeil, EverBetter	Row above records a walkthrough of the student path in jobs/team-demo, removed after the test.	277ab6a73b88c6bfe0361cacc6134b6624b7dfdb18fb6a60e0afd0c274aac131
14	2026-09-22T14:45:51	accept	jobs/team-N/proposed.design	643dc5df6c09829ea067a09e0ffa289b7f09a70e89cb5e416501d080e7ca5446	A Student, Team N	I accept	e8c4bdf8b2d84bb9062ba04a1c0f531dee98918e8a00f1c25d2a6f2502fa618f
15	2026-09-22T14:46:25	note	-	-	C. ONeil, EverBetter	Row above is a walkthrough of the student path in jobs/team-N, checking every command in the application notes. The job was removed after the test.	043dc6e4a8d818c37562f0b46a4bef4c8b87a9bde37fb1cecdad07758e6db63c
16	2026-09-22T15:06:12	note	-	-	C. ONeil, EverBetter	Row above is a second walkthrough of the student path in jobs/team-N, checking every make target in the application notes. The job was removed after the test.	ce32a0721e5579a60ea9f24a173b6f362b4d3624d11c5ba42ce3a28d6cd19c8d
17	2026-09-22T18:02:08	accept	jobs/invoices/proposed.design	84ef0d4097162b0c8f28634cda3061e63fcfdb11fbbca134d6f82cfd80e39526	C. ONeil, EverBetter	I accept	e2102e15737a9dce6a26b2c9b0016463aa90a2451088fc5e159be17e3531efb4
18	2026-09-22T18:40:55	accept	jobs/Buzz/proposed.design	9dbdf0ec515d8096a91d0c58d3fbd4d58dbcc958e8cb8bd4cf38895ff0f61055	Buzz, The CTO	I accept	80032dfb69a257c5a710950f6d78bea6df125ff343deec6510d6bc4311d712ca
19	2026-09-22T19:01:53	accept	jobs/Buzz/proposed.design	4ccb48f8a6b6a9be40de87ee31c08d5b8bc80138aa1693f3ecf301d4d78debef	Buzz, CTO	I accept	22e157bdb3299e61954c2c37deccd07998a819cc3909aa2992ed276bdc837f4e
